Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3171154,Vermelho Novo (MG),51182.0,1435.0,12478.0,1469.0,12063.0,23736.0
3171204,Vespasiano (MG),2709078.0,430017.0,827.0,705887.0,989793.0,582554.0
3171303,Viçosa (MG),1784080.0,153060.0,23187.0,197163.0,1031207.0,379463.0
3171402,Vieiras (MG),47754.0,1375.0,12055.0,1961.0,11763.0,20599.0
3171501,Mathias Lobato (MG),42205.0,1980.0,4143.0,1865.0,13224.0,20993.0
3171600,Virgem da Lapa (MG),124081.0,6060.0,7193.0,6059.0,45275.0,59494.0
3171709,Virgínia (MG),163185.0,5448.0,51078.0,5225.0,63553.0,37880.0
3171808,Virginópolis (MG),162889.0,9803.0,22568.0,5386.0,76617.0,48515.0
3171907,Virgolândia (MG),54959.0,1657.0,9055.0,1985.0,15426.0,26836.0
3172004,Visconde do Rio Branco (MG),1300845.0,144934.0,12936.0,484837.0,467187.0,190951.0
3172103,Volta Grande (MG),126531.0,16682.0,9693.0,21987.0,47729.0,30440.0
3172202,Wenceslau Braz (MG),30567.0,1266.0,4882.0,3044.0,7317.0,14057.0
3200102,Afonso Cláudio (ES),498896.0,32388.0,87893.0,46108.0,182359.0,150148.0
3200136,Águia Branca (ES),192510.0,17365.0,41471.0,21082.0,62703.0,49888.0
3200169,Água Doce do Norte (ES),165981.0,8418.0,25956.0,23584.0,47577.0,60445.0
3200201,Alegre (ES),504636.0,25028.0,52258.0,111180.0,187674.0,128496.0
3200300,Alfredo Chaves (ES),370237.0,32176.0,69954.0,71860.0,119175.0,77072.0
3200359,Alto Rio Novo (ES),97264.0,3794.0,19274.0,4722.0,27004.0,42469.0
3200409,Anchieta (ES),1032718.0,81152.0,30178.0,340869.0,340577.0,239942.0
3200508,Apiacá (ES),104180.0,8317.0,15516.0,5851.0,34404.0,40092.0
3200607,Aracruz (ES),4480770.0,658010.0,57873.0,2003305.0,1223863.0,537719.0
3200706,Atílio Vivácqua (ES),316548.0,57697.0,14234.0,84831.0,92634.0,67153.0
3200805,Baixo Guandu (ES),861495.0,46902.0,35260.0,404689.0,219234.0,155411.0
3200904,Barra de São Francisco (ES),1006164.0,97170.0,58146.0,292037.0,359396.0,199416.0
3201001,Boa Esperança (ES),230086.0,14715.0,42119.0,14677.0,84502.0,74073.0
3201100,Bom Jesus do Norte (ES),181094.0,17818.0,4622.0,25456.0,80806.0,52392.0
3201159,Brejetuba (ES),261247.0,11236.0,99469.0,22708.0,64199.0,63635.0
3201209,Cachoeiro de Itapemirim (ES),5314337.0,648031.0,58413.0,1220942.0,2466135.0,920817.0
3201308,Cariacica (ES),10225382.0,2943913.0,16704.0,894239.0,4943539.0,1426986.0
3201407,Castelo (ES),1097925.0,135465.0,103951.0,276719.0,391970.0,189820.0
3201506,Colatina (ES),3819219.0,441847.0,91995.0,929993.0,1748800.0,606584.0
3201605,Conceição da Barra (ES),511631.0,51985.0,64681.0,71283.0,164886.0,158796.0
3201704,Conceição do Castelo (ES),241206.0,19480.0,39618.0,23433.0,93292.0,65382.0
3201803,Divino de São Lourenço (ES),68906.0,3118.0,18319.0,4406.0,17103.0,25960.0
3201902,Domingos Martins (ES),842386.0,57392.0,154451.0,140953.0,328714.0,160875.0
3202009,Dores do Rio Preto (ES),165841.0,17481.0,25866.0,20429.0,66570.0,35495.0
3202108,Ecoporanga (ES),361690.0,17155.0,76411.0,45401.0,113271.0,109453.0
3202207,Fundão (ES),402656.0,41688.0,27077.0,75837.0,148915.0,109140.0
3202256,Governador Lindenberg (ES),250529.0,16164.0,58732.0,32576.0,78869.0,64187.0
